id_doctors,name_doctors,medical_specialty
0,Patrick Parker,Endocrinology
1,Diane Jackson,Pneumology
2,Paul Baker,Endocrinology
3,Brian Chandler,Pneumology
4,Dustin Griffin,Rheumatology
5,Robin Green,Rheumatology
6,Patricia Bishop,Cardiology
7,Brian Kennedy,Rheumatology
8,Kristin Dunn,Endocrinology
9,Jessica Bailey,Pneumology
10,Anthony Roberts,Oncology
11,William Miller,Cardiology
12,Laura Roberts,Endocrinology
13,James Carney,Endocrinology
14,Katherine Lowe,Oncology
15,Curtis Smith,Rheumatology
16,Clayton Mcknight,Endocrinology
17,Debra Meyers,Rheumatology
18,Megan Sanders,Endocrinology
19,Zachary Horton DDS,Rheumatology
20,Kelly Thompson,Rheumatology
21,Michael Chang,Pneumology
22,Nicole Wood,Endocrinology
23,Angela Kim,Endocrinology
24,Jodi Holland,Pneumology
25,Christina Flores,Endocrinology
26,Natalie Sullivan,Endocrinology
27,Carolyn Baker MD,Cardiology
28,Nicole Mcclain,Oncology
29,Chloe Thomas,Cardiology
30,Brian Watson,Rheumatology
31,Dr. Kyle Dickson,Endocrinology
32,Michael Smith,Pneumology
33,Pamela Brown,Pneumology
34,Tiffany Crawford,Oncology
35,Rachel Sullivan,Pneumology
36,Samuel Taylor,Endocrinology
37,John Harvey,Endocrinology
38,Sylvia Johnson,Endocrinology
39,Janice Vargas,Oncology
40,Mark Hill,Rheumatology
41,Amber Gonzalez,Cardiology
42,Wendy Galloway,Pneumology
43,Michael Harris,Endocrinology
44,Emily West,Cardiology
45,Cody Wright,Cardiology
46,Melissa Kelley,Rheumatology
47,Larry Guzman,Endocrinology
48,Kelsey Clark,Oncology
49,Corey Sutton,Endocrinology
50,Ashley Edwards,Oncology
51,Leon Price,Rheumatology
52,Kyle Estrada,Endocrinology
53,Jared Harmon,Oncology
54,Adrian Pierce,Rheumatology
55,Jesus Snyder,Endocrinology
56,Sara Watts,Oncology
57,Stacy Brewer,Cardiology
58,Nicholas Aguirre,Endocrinology
59,Miranda Robinson,Oncology
60,Tina Rogers,Oncology
61,Dennis Mitchell,Oncology
62,Robin Rodriguez,Endocrinology
63,Sergio Conner,Endocrinology
64,Mr. John Short,Cardiology
65,Gina Maddox,Pneumology
66,Heather Warner,Rheumatology
67,Amber Hayes,Endocrinology
68,Karen Nelson,Oncology
69,Brenda Bates DVM,Cardiology
70,Gabriella White,Rheumatology
71,Sean Thomas,Oncology
72,Aaron Burnett,Rheumatology
73,Caleb Rasmussen,Endocrinology
74,Christopher Castaneda,Endocrinology
75,Angela Mcdonald,Endocrinology
76,Julia Gibson,Oncology
77,Denise Jones,Endocrinology
78,Sandra Hogan,Rheumatology
79,Kathryn Garcia,Oncology
80,Adrian Terry,Rheumatology
81,Joseph Santiago,Rheumatology
82,Kristin Nash,Pneumology
83,Donald Nelson,Endocrinology
84,Nathan Colon,Rheumatology
85,John Chavez MD,Oncology
86,Stephen West,Endocrinology
87,Eric Sellers,Rheumatology
88,Raymond Moore Jr.,Oncology
89,Briana Olson,Endocrinology
90,Sherri Jones,Oncology
91,Bethany Graham,Cardiology
92,Angelica Gross,Endocrinology
93,Carrie Ho,Rheumatology
94,David Williams,Rheumatology
95,Stacy Salazar,Cardiology
96,Mitchell Bradshaw,Rheumatology
97,Jennifer Barry,Pneumology
98,Catherine Russell,Oncology
99,William Martinez,Endocrinology
100,Amanda Young,Endocrinology
101,Angela Cruz DDS,Cardiology
102,Marcus Reed,Endocrinology
103,Denise Richards,Cardiology
104,Andrea Nguyen,Endocrinology
105,Ian Hunter,Pneumology
106,Thomas Smith,Endocrinology
107,Wesley Thompson,Endocrinology
108,Eduardo Ross,Endocrinology
109,Rita Payne,Endocrinology
110,Sherry Sharp,Endocrinology
111,Diana Hunt,Cardiology
112,Christina Gonzalez,Endocrinology
113,Rodney Obrien,Oncology
114,Shannon Pineda,Endocrinology
115,Laurie Gonzalez,Endocrinology
116,Sydney Brown,Rheumatology
117,Jonathan Phillips,Endocrinology
118,Brandon Ray,Oncology
119,Deborah Johnson,Endocrinology
120,Matthew Williams,Cardiology
121,Tim Bradshaw,Pneumology
122,Charles Medina,Rheumatology
123,Kathleen Cummings MD,Cardiology
124,Judy Carlson,Rheumatology
125,William Wolf,Cardiology
126,Carl Rivera,Rheumatology
127,Jennifer Vasquez,Rheumatology
128,Rachel Wheeler,Rheumatology
129,David Stephenson,Endocrinology
130,Stephanie Parker,Cardiology
131,Kelly Sanchez,Endocrinology
132,Sierra Graves,Rheumatology
133,Ryan Wilkins,Oncology
134,Nicole Holland,Endocrinology
135,Victoria Stafford,Endocrinology
136,Timothy Miller,Cardiology
137,Angela Wright,Rheumatology
138,Jillian Marshall,Oncology
139,Zachary Potter,Endocrinology
140,Gabrielle Pitts,Rheumatology
141,Jason Mcintosh,Pneumology
142,Jessica Smith,Rheumatology
143,Spencer Bentley,Cardiology
144,Bruce Matthews,Pneumology
145,Jason Ryan,Pneumology
146,Mark Fischer,Pneumology
147,Katherine George,Cardiology
148,Nicholas Glover,Oncology
149,Christopher Wallace,Pneumology
150,Adam Rasmussen,Cardiology
151,Richard Harris,Rheumatology
152,Erika Long,Cardiology
153,Nathan Hawkins,Rheumatology
154,Christopher Sullivan,Pneumology
155,Laura Johnson,Endocrinology
156,Tammy Williamson,Pneumology
157,Kara Frey,Endocrinology
158,Dr. Jessica Harris MD,Cardiology
159,Jeffery Maxwell,Pneumology
160,Stephanie Clark,Cardiology
161,Jenna Ward,Cardiology
162,Vicki Merritt,Endocrinology
163,Kevin Davis,Pneumology
164,Emily Jensen,Cardiology
165,Michael Pacheco,Pneumology
166,Jason Little,Oncology
167,Mark Nichols,Endocrinology
168,Joseph Navarro,Pneumology
169,Allison Bond,Pneumology
170,Douglas Holmes,Cardiology
171,Shannon Hall,Oncology
172,Charles Mora,Endocrinology
173,Kevin Morris,Endocrinology
174,Heather Anderson,Cardiology
175,Joshua Larson,Cardiology
176,Alyssa Acevedo,Endocrinology
177,Kelly Scott MD,Oncology
178,Ashley Taylor,Pneumology
179,William Meza,Endocrinology
180,Jessica Powell MD,Endocrinology
181,Theresa Garcia,Cardiology
182,Stephanie Bennett,Oncology
183,Michelle Harris,Cardiology
184,Lee Evans,Oncology
185,Michael Sutton,Endocrinology
186,James Nichols,Pneumology
187,Terry Bean,Cardiology
188,Jose Cross,Endocrinology
189,Dennis Morris,Pneumology
190,David Davis,Rheumatology
191,Shane Browning,Rheumatology
192,Kara Barton,Oncology
193,Bonnie Weaver,Pneumology
194,Christopher Barton,Endocrinology
195,Andrew Mendez,Pneumology
196,Jonathan Rodriguez,Pneumology
197,Geoffrey Diaz,Rheumatology
198,Austin Alvarado,Rheumatology
199,Russell Soto,Rheumatology
200,Anna Meyers,Rheumatology
201,Susan Pennington,Endocrinology
202,Wanda Warren,Pneumology
203,Brenda Burton,Endocrinology
204,Christopher Garcia,Oncology
205,Zachary Rogers,Rheumatology
206,Jennifer Merritt,Endocrinology
207,Colleen Velazquez,Oncology
208,Austin Fernandez,Oncology
209,Christina Barnes,Pneumology
210,Brian Walsh,Oncology
211,Latoya Knapp,Pneumology
212,Terry Berger,Endocrinology
213,Michelle Perez,Cardiology
214,Amber Jennings,Oncology
215,Tony Hawkins,Endocrinology
216,Chris Cobb DVM,Endocrinology
217,Aaron Taylor,Endocrinology
218,Gregory Schroeder,Pneumology
219,Monica Mueller,Endocrinology
220,Ann Butler,Cardiology
221,Sheri Ramirez,Oncology
222,Richard Shaw,Oncology
223,Samuel Sutton,Rheumatology
224,Kimberly Palmer,Endocrinology
225,Alex Sutton,Oncology
226,Tina Jordan,Cardiology
227,Jose Love MD,Cardiology
228,Meredith Johnson DDS,Endocrinology
229,John Thompson,Cardiology
230,Mark Barnes,Cardiology
231,Philip Torres,Oncology
232,William Hart,Rheumatology
233,Joshua Wilson,Pneumology
234,Kenneth Higgins,Endocrinology
235,Rebekah Cruz,Rheumatology
236,Destiny Avery,Cardiology
237,Jerry Cruz,Rheumatology
238,Nicole Fernandez,Oncology
239,Misty Clark,Rheumatology
240,Christopher Tran,Cardiology
241,Dana Adams,Cardiology
242,Nicole Miller,Endocrinology
243,Misty Lopez,Oncology
244,Alexis Reeves,Rheumatology
245,Donald Johnson,Cardiology
246,Norman Weaver,Cardiology
247,Barbara Hurst,Endocrinology
248,Vanessa Wilson,Endocrinology
249,Scott Beck,Pneumology
250,Rebecca Morales,Endocrinology
251,Jessica Sanders,Oncology
252,Bradley Ellis,Cardiology
253,Jessica Newton,Endocrinology
254,Monica Wright,Pneumology
255,Amber Flores,Pneumology
256,Anne White,Oncology
257,Annette Cook,Endocrinology
258,William Oconnor,Pneumology
259,Michael Sullivan,Cardiology
260,Christopher Howard,Rheumatology
261,Sarah Torres,Endocrinology
262,Melissa Nguyen,Endocrinology
263,Catherine Jones,Endocrinology
264,Elizabeth Cordova,Pneumology
265,Stephanie Bryan,Pneumology
266,Samuel Lowe,Pneumology
267,Mr. Eric Smith,Rheumatology
268,Jamie Marks,Endocrinology
269,Wesley Mcpherson,Pneumology
270,Jordan Johnston,Cardiology
271,Nathan Mason,Endocrinology
272,Jason Smith,Endocrinology
273,Kimberly Valentine,Endocrinology
274,Brittany Weaver,Oncology
275,Robert Page,Cardiology
276,Sean Black,Endocrinology
277,Jamie Wright,Endocrinology
278,Aaron Padilla,Oncology
279,Dustin Martinez,Rheumatology
280,John Ryan MD,Oncology
281,Kelsey Ross,Cardiology
282,Andrea Owen,Endocrinology
283,Melissa Gomez MD,Cardiology
284,Sharon Banks,Endocrinology
285,Peter Bailey,Cardiology
286,Lindsay Watson,Pneumology
287,Sarah Williams,Oncology
288,Nicole Johnson,Endocrinology
289,Nathaniel Wilson,Rheumatology
290,Elizabeth Clark DDS,Rheumatology
291,Jose Harris,Pneumology
292,Ronnie Hernandez,Rheumatology
293,Veronica Bradley,Cardiology
294,Charles Blake,Cardiology
295,Jose Richard,Oncology
296,Richard Fuller,Cardiology
297,Amanda Blackburn,Pneumology
298,Rachel Roberts,Endocrinology
299,Robert Leblanc,Oncology
300,Dawn Waller,Pneumology
301,Leslie Walls,Endocrinology
302,Jennifer Newton,Rheumatology
303,Dr. Sean Russell,Oncology
304,Diane Fuller,Pneumology
305,Jordan Wise,Pneumology
306,Mr. Samuel Burgess,Rheumatology
307,Nathaniel Richardson,Oncology
308,Amber Meza,Cardiology
309,Cheryl Robles,Rheumatology
310,Victoria Smith,Endocrinology
311,Christopher Flores,Pneumology
312,Jason Wright,Oncology
313,Michael Chung,Pneumology
314,Lucas Clark,Pneumology
315,Joyce Cuevas,Endocrinology
316,Joanne Owen,Pneumology
317,Jill Hughes,Endocrinology
318,Scott Martin,Cardiology
319,Gina Beasley,Pneumology
320,Tricia Mcclure,Rheumatology
321,Rodney Johnson,Oncology
322,Katie Erickson,Endocrinology
323,James Garcia,Rheumatology
324,Tonya Castaneda,Oncology
325,Theresa Brown,Pneumology
326,James Holmes,Endocrinology
327,Randy White,Cardiology
328,Jason Kelley,Pneumology
329,Kimberly Brewer,Pneumology
330,Jonathan Good,Oncology
331,Cory Fletcher,Endocrinology
332,Amy Matthews,Cardiology
333,Anne Velazquez,Endocrinology
334,Todd Jackson,Cardiology
335,Sandra Scott,Endocrinology
336,Dr. Nicolas Bryant,Rheumatology
337,Heather Lewis,Endocrinology
338,David Patel,Oncology
339,Jerome Davis,Oncology
340,Michael Villanueva,Endocrinology
341,Elizabeth Chase,Oncology
342,Edward Collins,Pneumology
343,Jonathon Klein,Rheumatology
344,David Sanchez,Endocrinology
345,Matthew Downs,Pneumology
346,Jennifer Acosta,Endocrinology
347,Karen Collier,Endocrinology
348,Cheryl Palmer,Endocrinology
349,Joseph Ortega,Oncology
350,Donna Vasquez,Rheumatology
351,Alexander Shelton,Oncology
352,Anna Adams,Endocrinology
353,Karen Cox,Rheumatology
354,Lindsey Gentry,Oncology
